"","","","",""
"31","2000_0807
					 Apr 7, 2000","15","S.Con.Res.101","Budget resolution"
"32","1999_0730
					 Jul 30, 1999","16","S.1429","Taxpayer Refund Act"
"33","1999_0525
					 Mar 25, 1999","17","S.Con.Res.20
H.Con.Res.68","Budget resolution
						 S.Res.57 vote not included."
"34","1998_0402
					 Apr 2, 1998","23","S.Con.Res.86","Budget resolution
Patrick Murphy nomination vote not included."
"35","1997_0627
					 Jun 27, 1997","23","H.R.2014
S.949","Revenue Reconciliation Act"
"36","1997_0625
					 Jun 25, 1997","16","S.947","Balanced Budget Act"
"37","1996_0723
					 Jul 23, 1996","21","H.R.3734
S.1956","Personal Responsibility and Work Opportunity Reconciliation Act
						 H.R.3603 vote not included."
"38","1996_0522
					 May 22, 1996","27","S.Con.Res.57","Budget resolution"
"39","1995_1127
					 Oct 27, 1995","39","H.R.2491
S.1357","Balanced Budget Reconciliation Act"
"40","1995_1126
					 Oct 26, 1995","19","S.1357","Balanced Budget Reconciliation Act"
"41","1995_0525
					 May 25, 1995","29","H.Con.Res.67
S.Con.Res.13","Budget resolution
						 H.R.1158 vote not included."
"42","1995_0524
					 May 24, 1995","22","S.Con.Res.13","Budget resolution"
"43","1995_0228
					 Feb 28, 1995","18","H.J.Res.1","Balanced budget Constitutional amendment"
"44","1993_0624
					 Jun 24, 1993","25","S.1134","Omnibus Budget Reconciliation Act"
"45","1993_0324
					 Mar 24, 1993","18","S.Con.Res.18","Budget resolution"
"46","1986_0415
					 Aug 15, 1986","15","S.2701
H.R.4868","Comprehensive Anti-Apartheid Act
						 H.R.5395 votes not included."
"47","1986_0813
					 Aug 13, 1986","15","H.R.5052","Military Construction Appropriations Act/Nicaraguan contra aid
H.R.4868 vote not included."
"48","1985_0509
					 May 9, 1985","23","S.Con.Res.32","Budget resolution
						 Senate recessed at 3:44 a.m. on May 10.
						 Includes vote on motion to recess."
"49","1982_1216
					 Dec 16, 1982","22","H.J.Res.631","Continuing appropriations
						 Senate recessed at 11:36 p.m. on Dec 17.
						 H.R.6211 vote not included."
"50","1982_0803
					 Aug 3, 1982","15","S.J.Res.58","Balanced budget and tax limitation Constitutional amendment
						 Senate recessed at 12:12 a.m. on Aug 4."
"51","1982_0722
					 Jul 22, 1982","20","H.R.4961","Tax Equity and Fiscal Responsibility Act
						 Senate recessed at 5:01 a.m. on Jul 23."
"52","1982_0521
					 May 21, 1982","17","S.Con.Res.92","Budget resolution"
"53","1982_0224
					 Feb 24, 1982","20","S.951","Department of Justice Appropriation Authorization
Includes votes on motions to instruct Sgt. at Arms.
Senate recessed at 1:21 a.m. on Feb 25."
"54","1981_1119
					 Nov 19, 1981","23","H.J.Res.357","Continuing appropriations
						 H.Con.Res.224 vote not included.
						 Senate recessed at 6:52 a.m. on Nov 20."
"55","1981_0625
					 Jun 25, 1981","15","S.1377","Omnibus Reconciliation Act
				 Senate adjourned at 1:15 a.m. on Jun 26."
"56","1980_0821
					 Aug 21, 1980","15","H.R.1197","Tonnage Measurement Simplification Act
Includes vote on motion to instruct Sgt. at Arms."
"57","1980_0610
					 Jun 10, 1980","15","H.J.Res.521","Military draft registration appropriation transfer"
"58","1980_0512
					 May 12, 1980","15","H.Con.Res.307
S.Con.Res.86","Budget resolution"
"59","1978_0418
					 Apr 18, 1978","16","Ex. N - 95th, 1st","Panama Canal treaties"
"60","1977_0928
					 Sep 28, 1977","25","S.2104","Natural Gas Policy Act"
"61","1977_0927
					 Sep 27, 1977","38","S.2104","Natural Gas Policy Act
 Senate recessed at 7:12 a.m. on Sep 28."
"62","1977_0926
					 Sep 26, 1977","18","S.2104","Natural Gas Policy Act
				 Ex. A - 95th, 1st vote not included.
				 Includes votes on motions to adjourn and recess."
